"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.4764241744759","88.699785031557","86.2452501294591","83.6428420448712","84.6355644478746","70.6728532748071","68.5481524585394","69.3812949640288","70.8678828081813","68.5635497618451","77.9482262703739","78.110599078341","76.7998290963469","78.1847781847782","76.2799016320143","77.5648516008413","83.7861524978089","82.4333259863346","82.536247565462","79.7596457938014","75.6330427563304","74.6306458421275","75.237898220935","",
"Afghanistan","AFG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.02479336623182","8.09716629841498","9.34959330590257","16.8639103340214","18.0555553858025","21.4128034842526","18.571428537415","14.2098270385479","15.2103564269331","14.9842272480072","11.9441077843955","16.1407951985264","18.1058497936081","14.7435907141683","14.8453612226592","14.2723007777117","14.8695654136106","14.8231754979077","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","70.3293615651536","71.9935934893108","60.6639232936629","70.7746463367921","74.5044012766033","62.2757565321969","73.1213663789153","66.6645503895639","62.750313922893","66.8747089278908","62.6202604187822","55.1523271838943","51.4135473635928","43.4375425849813","41.7256945837374","45.3320652802564","",
"Angola","AGO","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.8612782697202","74.946850958953","48.2167466955221","49.5798894339577","45.1995788304369","41.0646943598961","31.1572958281252","40.1542845215112","48.8896794334592","63.6888393243925","42.5805172357597","39.312559414836","35.8599672013096","36.0648463926319","34.6378962587845","33.1339212918958","25.245670718005","23.2527213966496","",
"Albania","ALB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","23.5366005935177","22.2899596239822","24.7376437022741","21.558592462639","20.075351594758","19.1144514025886","16.0311247475208","16.1296420781227","19.9184766016104","21.4727330022325","24.0318995737727","28.5857013386048","96.2858807479086","64.5395029570264","41.1188903879182","34.9697653759195","33.2750127856585","35.228356533182","36.6703217893818","34.1693079708021","43.3388733816308","45.1575919027277","47.5795011908389","46.1731524571442","44.8295682540371","47.8593270269834","49.057503136691","54.95418051056","52.1493028437756","49.8541876468614","48.563984043819","51.9770510155126","47.5726865999755","46.9574157459003","47.1948427046416","44.5336319211996","45.7458425718742","46.5571844939036","",
"Andorra","AND","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","21.7329661573284","20.5254648368709","20.8995054567998","23.7678430249","23.9711930058533","31.0842241496978","31.0977918333325","36.7015450336501","38.112763499297","35.1990354253823","34.2654190798573","39.3252571366742","42.5652339087999","40.3450173694651","38.7090085015494","34.4560519795377","32.2306142870949","31.2258219335386","32.6604980563773","36.1562900397993","33.7652110333246","40.0583058085907","33.6573364633541","31.7012385012105","29.2243385048264","30.3574058592997","28.8777927324071","30.8570345534902","33.1677863207487","30.0049296152609","28.0965589867842","31.4908882181827","32.0198751622336","34.2845633173376","36.1157863561477","36.388752096431","35.7558756734317","39.6108634475441","40.7878687299604","42.2903235956475","38.4519073900113","37.1203230145056","37.7675129987412","39.7412704059097","42.1805409309386","44.9004867993328","41.7198231664551","40.5628722727636","",
"United Arab Emirates","ARE","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7053546013305","43.5683114306968","46.3769702756087","53.0548827099662","51.9676896079697","50.8428719062721","64.4140553654625","69.6456553241827","73.8086264961866","63.571041979095","62.0164603621155","64.8207001026398","64.9096442307021","68.9351924086183","74.3508273325776","75.7446341195563","72.4266854186492","",
"Argentina","ARG","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","7.60404697912324","5.99494531619397","9.38368289056535","7.89045203275027","5.56371407476368","4.15058297228058","4.98968803354159","4.99706414666865","5.40371142251908","6.3987133165299","4.73587740491927","6.60795603425504","6.837877358188","5.70950079036544","6.28900906002225","5.97867249611964","5.92149632801213","7.32639415527493","5.71540643432856","6.32976917431398","6.48369977949523","7.37192799858578","6.52099302139343","5.83614942003836","4.75648611743286","6.27332704995288","6.32405524784407","7.57576406955165","6.21184563577101","6.57938879331971","4.63132240741775","6.07801081056698","8.13279311431564","9.31379991407563","10.6043971410814","10.0910128307854","11.0778716497076","12.7753287418177","12.934446011977","11.5555704475475","11.6360695451767","10.2732473690136","13.370127359396","14.7138051046861","16.8450266849578","17.3053942367663","17.4067852681036","18.2824203070644","18.341772996414","14.4961418494061","16.0371898581987","16.7569458546489","14.2886829096862","14.7167556136651","14.0013150558519","11.7805740385254","13.5380814169803","13.8392665956192","",
"Armenia","ARM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3327370304115","60.1204668088844","61.2560043844096","60.7541704101782","73.1013252499359","62.1869362383961","55.989556615586","58.2744756657506","52.8394319098677","49.8022321913836","50.5432601504278","46.1487972209334","46.5868758962113","50.0350015421852","45.3023970182795","43.2297140699714","39.250207195284","39.1508112607459","40.6557586180882","43.0043948229768","45.3172006368297","47.3540169556703","48.4000215166647","48.1970692931673","47.0465461367346","41.8652688700677","42.7698750822308","49.5483265415989","",
"American Samoa","ASM","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.75486381323","108.349146110057","110.7421875","122.0675944334","127.822580645161","119.423076923077","133.92539964476","82.0058997050148","93.2291666666667","97.3867595818815","99.8447204968944","100","105.443234836703","99.3948562783661","97.0903522205207","92.7444794952681","",
